userId,attractionId,rating,archetype,dataOrigin,generatorVersion,seed
synthetic-history-000,shigar-fort,5,history,semi_synthetic,1.0.0,20260810
synthetic-history-000,mall-road,2,history,semi_synthetic,1.0.0,20260810
synthetic-history-000,bala-hisar,5,history,semi_synthetic,1.0.0,20260810
synthetic-history-000,lahore-fort,4,history,semi_synthetic,1.0.0,20260810
synthetic-history-000,swat-museum,4,history,semi_synthetic,1.0.0,20260810
synthetic-history-000,badshahi-mosque,4,history,semi_synthetic,1.0.0,20260810
synthetic-history-000,baltit-fort,4,history,semi_synthetic,1.0.0,20260810
synthetic-history-000,patriata,2,history,semi_synthetic,1.0.0,20260810
synthetic-history-000,passu-cones,3,history,semi_synthetic,1.0.0,20260810
synthetic-history-000,anarkali-bazaar,4,history,semi_synthetic,1.0.0,20260810
synthetic-history-001,karimabad-bazaar,3,history,semi_synthetic,1.0.0,20260810
synthetic-history-001,margalla-hills,2,history,semi_synthetic,1.0.0,20260810
synthetic-history-001,anarkali-bazaar,3,history,semi_synthetic,1.0.0,20260810
synthetic-history-001,passu-cones,4,history,semi_synthetic,1.0.0,20260810
synthetic-history-001,altit-fort,4,history,semi_synthetic,1.0.0,20260810
synthetic-history-001,baltit-fort,4,history,semi_synthetic,1.0.0,20260810
synthetic-history-001,shalimar-gardens,3,history,semi_synthetic,1.0.0,20260810
synthetic-history-001,badshahi-mosque,5,history,semi_synthetic,1.0.0,20260810
synthetic-history-001,attabad-lake,3,history,semi_synthetic,1.0.0,20260810
synthetic-history-001,peshawar-museum,4,history,semi_synthetic,1.0.0,20260810
synthetic-history-002,rawal-lake,3,history,semi_synthetic,1.0.0,20260810
synthetic-history-002,clifton-beach,3,history,semi_synthetic,1.0.0,20260810
synthetic-history-002,passu-cones,3,history,semi_synthetic,1.0.0,20260810
synthetic-history-002,attabad-lake,2,history,semi_synthetic,1.0.0,20260810
synthetic-history-002,burns-road,4,history,semi_synthetic,1.0.0,20260810
synthetic-history-002,mohatta-palace,4,history,semi_synthetic,1.0.0,20260810
synthetic-history-002,faisal-mosque,5,history,semi_synthetic,1.0.0,20260810
synthetic-history-002,karimabad-bazaar,3,history,semi_synthetic,1.0.0,20260810
synthetic-history-002,bala-hisar,5,history,semi_synthetic,1.0.0,20260810
synthetic-history-002,patriata,3,history,semi_synthetic,1.0.0,20260810
synthetic-history-003,mohatta-palace,4,history,semi_synthetic,1.0.0,20260810
synthetic-history-003,satpara-lake,2,history,semi_synthetic,1.0.0,20260810
synthetic-history-003,anarkali-bazaar,3,history,semi_synthetic,1.0.0,20260810
synthetic-history-003,karimabad-bazaar,3,history,semi_synthetic,1.0.0,20260810
synthetic-history-003,faisal-mosque,5,history,semi_synthetic,1.0.0,20260810
